what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030557174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1282030563996
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1282030564576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1282030564969
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1282030565335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282030567422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282030582343
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1282030595534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030595828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030599490
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282030601052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030609051
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1282030610373
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030610382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030613438
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1282030617495
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1282030637292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030637300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030643070
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1282030673144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030673159
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1282030674307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030679886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030703469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030714815
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1282030746759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030746817
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1282030750499
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1282030750520
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1282030750531
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1282030750539
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1282030750556
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282030750610
error,log,,,"Error logged from Debug Core: ",1282030752610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030758296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030815110
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030815130
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1282030852824
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030858279
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282030866766
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030867813
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030872613
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1282030873958
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030874260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030880283
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282030883639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030886028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030914943
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030914962
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1282030921715
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030923430
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282030940601
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1282030944464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030944759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030946210
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282030955990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030957523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030968242
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282030968258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030969410
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030973572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282030974048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031125502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1282031134575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031135337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031173936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031176814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031304560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031307376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031719436
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031724497
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282031727360
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031746960
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1282031748033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031762658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031777614
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031809277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1282031868557
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282031869865
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031872246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031873733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282031955355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972615
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972707
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282031972946
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031975056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031978080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282031982721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1282031988529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282031995455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032013753
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282032028636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032030786
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032064235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282032082902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282032085870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1282032093180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282032094130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032104213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1282032113132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282032117938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282032125815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282032126231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032134758
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282032142862
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1282032147685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282032147985
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282032149536
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282032154656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282032157781
